t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1560276383,1,0.099446,0.184009,0.196694,0.198892,events/second
1560276441,1,0.099462,0.184009,0.196694,0.198892,events/second
1560276451,1,0.049924,0.155760,0.190246,0.196694,events/second
