t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1560276383,4,0.397617,0.231982,0.206611,0.202216,events/second
1560276441,4,0.397658,0.231982,0.206611,0.202216,events/second
1560276451,11,0.549087,0.307028,0.222923,0.207732,events/second
