t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1560276383,633,317428540,956624.449888,1919,17216740.272295,8088.000000,16364.000000,51978.000000,78054.000000,127163.000000,317428540.000000
1560276441,567,337029690,1118824.927803,1962,19108898.818194,8070.000000,15546.000000,61963.000000,97361.000000,142905.000000,337029690.000000
1560276451,1233,327023280,291249.442662,1988,9561068.398257,7485.000000,12050.000000,30286.000000,51451.000000,75621.000000,225121.000000
