t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1560276383,2525864,11.633000,0.526289,0.284000,0.735410,0.306000,0.329000,2.453000,2.564000,3.099000,4.346000,250973.620002,229517.649457,226286.587282,225726.823099,calls/second,microseconds
1560276441,2294921,7.006000,0.474858,0.282000,0.623808,0.314000,0.341000,2.315000,2.637000,3.235000,7.006000,228054.288152,209673.263636,206873.733666,206388.730121,calls/second,microseconds
1560276451,4795576,5.644000,0.479120,0.283000,0.609605,0.311000,0.329000,2.340000,2.491000,2.752000,5.613000,239303.933871,215932.444038,208302.538313,206875.680033,calls/second,microseconds
